title,year,organization
The Impact of Internet Referral Services on a Supply Chain.,2007,University of Michigan
Evolving Work Routines: Adaptive Routinization of Information Technology in Healthcare.,2011,University of Maryland
Research Note - The Role of Organizational Controls and Boundary Spanning in Software Development Outsourcing: Implications for Project Performance.,2010,University of Maryland
Research Note - On Vendor Preferences for Contract Types in Offshore Software Projects: The Case of Fixed Price vs. Time and Materials Contracts.,2008,University of Maryland
Depicting the Use and Purpose of Documents to Improve Information Retrieval.,1999,University of Michigan
Research Note - Industry-Specific Human Capital and Wages: Evidence from the Business Process Outsourcing Industry.,2014,University of Maryland
Research Note - Industry-Specific Human Capital and Wages: Evidence from the Business Process Outsourcing Industry.,2014,University of Michigan
Editorial Notes.,1993,University of Michigan
Editorial Notes.,1994,University of Michigan
Institutional Factors in Information Technology Innovation.,1994,University of Michigan
A Decision Model for Software Maintenance.,2004,University of Michigan
Marketspace or Marketplace? Online Information Search and Channel Outcomes in Auto Retailing.,2008,University of Maryland
Research Commentary - Too Big to Fail: Large Samples and the p-Value Problem.,2013,University of Maryland
"Through a Glass Darkly: Information Technology Design, Identity Verification, and Knowledge Contribution in Online Communities.",2007,University of Maryland
A Control Theory Perspective on Agile Methodology Use and Changing User Requirements.,2009,University of Maryland
Electronic Meeting Systems: Evidence from a Low Structure Environment.,1992,University of Michigan
"Technological Frames, Organizational Capabilities, and IT Use: An Empirical Investigation of Electronic Procurement.",2010,University of Maryland
Electronic Health Records Assimilation and Physician Identity Evolution: An Identity Theory Perspective.,2012,University of Maryland
From Association to Causation via a Potential Outcomes Approach.,2009,University of Maryland
From Association to Causation via a Potential Outcomes Approach.,2009,University of Michigan
"Is the World Flat or Spiky? Information Intensity, Skills, and Global Service Disaggregation.",2007,University of Maryland
"Is the World Flat or Spiky? Information Intensity, Skills, and Global Service Disaggregation.",2007,University of Michigan
A Foundation for Flexible Automated Electronic Communication.,2001,University of Michigan
Research Note - The Value of Third-Party Assurance Seals in Online Retailing: An Empirical Investigation.,2013,University of Maryland
Research Note - Analyzing Pricing Strategies for Online Services with Network Effects.,2012,University of Michigan
Social Capital and Knowledge Integration in Digitally Enabled Teams.,2008,University of Michigan
Impacts of License Choice and Organizational Sponsorship on User Interest and Development Activity in Open Source Software Projects.,2006,University of Maryland
Measuring e-Commerce in Net-Enabled Organizations: An Introduction to the Special Issue.,2002,Tel Aviv University
Toward New Metrics for Net-Enhanced Organizations.,2002,Tel Aviv University
The Early Years of : Recollections of the Editors.,2010,University of Michigan
"Research Note - Effects of Individual Self-Protection, Industry Self-Regulation, and Government Regulation on Privacy Concerns: A Study of Location-Based Services.",2012,University of Maryland
Research Note - Using Real Options to Investigate the Market Value of Virtual World Businesses.,2012,University of Maryland
Multimedia Semantics: Introduction.,2005,University of Michigan
Introduction to Multimedia Semantics '06.,2006,University of Michigan
A Clustering Based Forecast Engine for Retail Sales.,2012,University of Maryland
Grid Security and Integration with Minimal Performance Degradation.,2004,University of Michigan
Guest Editorial for the Special Issue on Data Quality in Databases.,2009,University of Maryland
Editorial.,2014,University of Maryland
Representation and Storage of Motion Data.,2002,Tel Aviv University
Semantic Association Identification and Knowledge Discovery for National Security Applications.,2005,University of Maryland
Using Semantic Networks and Context in Search for Relevant Software Engineering Artifacts.,2009,University of Maryland
Intensional Semantics for P2P Data Integration.,2006,University of Maryland
Intensional First-Order Logic for P2P Database Systems.,2009,University of Maryland
Graph mining for discovering infrastructure patterns in configuration management databases.,2012,Tel Aviv University
Bulk construction of dynamic clustered metric trees.,2010,Tel Aviv University
Peer-to-peer information retrieval using shared-content clustering.,2014,Tel Aviv University
The -Nearest Neighbour Join: Turbo Charging the KDD Process.,2004,University of Maryland
Non-negative matrix factorization for semi-supervised data clustering.,2008,University of Michigan
Intelligent systems in the automotive industry: applications and trends.,2007,University of Michigan
Consistent collective evaluation of multiple continuous queries for filtering heterogeneous data streams.,2010,University of Michigan
Hyper-structure mining of frequent patterns in uncertain data streams.,2013,University of Maryland
Ranking-based evaluation of regression models.,2007,Tel Aviv University
Query-dependent cross-domain ranking in heterogeneous network.,2013,University of Michigan
Cost Estimation for Queries Experiencing Multiple Contention States in Dynamic Multidatabase Environments.,2003,University of Michigan
Knowledge-based approach to structural integrity verification in requirements analysis and logical system specification.,1993,University of Maryland
Systems development life-cycle for expert systems.,1990,University of Maryland
Negative selection algorithm based on grid file of the feature space.,2014,University of Maryland
Discovering user access patterns on the World Wide Web.,1998,University of Michigan
Data-driven integration of multiple sentiment dictionaries for lexicon-based sentiment classification of product reviews.,2014,University of Michigan
Enhancing learning algorithms to support data with short sequence features by automated feature discovery.,2013,Tel Aviv University
Frame-based implementation of a design knowledge-capture scheme.,1991,University of Maryland
PubMed smarter: Query expansion with implicit words based on gene ontology.,2008,University of Michigan
Feature extraction and validation within a flexible manufacturing protocol.,1993,University of Maryland
Generating complex systems in the domain of chemical reactions.,1998,University of Maryland
How Best to Build Web-Scale Data Managers? A Panel Discussion.,2009,University of Michigan
Schema Extraction for Tabular Data on the Web.,2013,University of Maryland
Time for Our Field to Grow Up.,2010,University of Michigan
Putting Lipstick on Pig: Enabling Database-style Workflow Provenance.,2011,Tel Aviv University
Ontology Assisted Crowd Mining.,2014,Tel Aviv University
CrowdMiner: Mining association rules from the crowd.,2013,Tel Aviv University
An Integrated Development Environment for Faster Feature Engineering.,2014,University of Michigan
Ringtail: A Generalized Nowcasting System.,2013,University of Michigan
"SEDA: a system for search, exploration, discovery, and analysis of XML Data.",2008,University of Maryland
Labeling Workflow Views with Fine-Grained Dependencies.,2012,Tel Aviv University
Data Integration for the Relational Web.,2009,University of Michigan
WebTables: exploring the power of tables on the web.,2008,University of Michigan
Senbazuru: A Prototype Spreadsheet Database Management System.,2013,University of Michigan
"Composable, Scalable, and Accurate Weight Summarization of Unaggregated Data Sets.",2009,Tel Aviv University
Tighter estimation using bottom k sketches.,2008,Tel Aviv University
Coordinated Weighted Sampling for Estimating Aggregates Over Multiple Weight Assignments.,2009,Tel Aviv University
Navigating in Complex Mashed-Up Applications.,2010,Tel Aviv University
Type inference and type checking for queries on execution traces.,2008,Tel Aviv University
Querying web-based applications under models of uncertainty.,2008,Tel Aviv University
